省份,人口,经济,法人单位数,从业人数,农户数量
北京,7355291,268346,246810,760.55,1032804
天津,3963604,145411,93365,369.19,909859
河北,20813492,278581,218826,1005.3,14831553
山西,10654162,160748,126332,607.28,6225828
内蒙古,8470472,113568,72492,328.49,3779958
辽宁,15334912,315408,218115,1011.08,5812329
吉林,9162183,124427,87412,451.88,3267141
黑龙江,13192935,150273,107455,665.86,3836504
上海,8893483,360466,259097,917.62,709506
江苏,25635291,630836,402323,1729.07,11684738
浙江,20060115,560177,359869,1226.81,8709240
安徽,19322432,205275,178914,692.14,12256197
福建,11971873,232603,156794,601.74,5697446
江西,11847841,147815,147107,472.53,7873819
山东,30794664,603846,348473,1669.94,19629394
河南,26404973,351074,267881,1200.23,19627460
湖北,17253385,293352,161920,814.68,9362247
湖南,19029894,258434,187468,754.12,13685139
广东,32222752,617659,403309,1992.76,11727600
广西,13467663,154748,123071,415.14,9942845
海南,2451819,29411,31428,114.2,1241148
重庆,10272559,139074,90306,395.3,6432087
四川,26383458,310270,259869,951.22,18125128
贵州,10745630,94296,85843,264.37,7987864
云南,12695396,122667,98325,410.84,8810305
西藏,689521,15324,15595,25.56,520731
陕西,11084516,178971,162552,500.4,6923343
甘肃,7113833,94361,83323,309.13,4701507
青海,1586635,24394,20862,67.73,895979
宁夏,1945064,29312,25402,91.27,978607
新疆,6902850,88115,66477,312.46,3052204
